date,Uid,Uid_wrep,Uid_winvswap
2022-10-01,1061,243,151
2022-10-02,1061,243,151
2022-10-03,1062,244,152
2022-10-04,1063,244,152
2022-10-05,1063,244,152
2022-10-06,1066,245,152
2022-10-07,1066,245,152
2022-10-08,1066,246,153
2022-10-09,1066,246,153
2022-10-10,1066,246,153
2022-10-11,1067,246,153
2022-10-12,1068,246,153
2022-10-13,1069,246,153
2022-10-14,1069,246,153
2022-10-15,1069,246,153
2022-10-16,1070,246,153
2022-10-17,1070,246,153
2022-10-18,1070,246,153
2022-10-19,1073,248,154
2022-10-20,1073,248,154
2022-10-21,1073,248,154
2022-10-22,1074,248,154
2022-10-23,1074,248,154
2022-10-24,1074,248,154
2022-10-25,1074,248,154
2022-10-26,1075,248,154
2022-10-27,1076,248,154
2022-10-28,1076,248,154
2022-10-29,1076,248,154
2022-10-30,1076,248,154
2022-10-31,1076,248,154
2022-11-01,1079,248,154
2022-11-02,1085,249,154
2022-11-03,1088,250,156
2022-11-04,1093,251,157
2022-11-05,1095,251,157
2022-11-06,1095,251,157
2022-11-07,1095,251,157
2022-11-08,1097,251,157
2022-11-09,1098,252,158
2022-11-10,1102,252,158
2022-11-11,1104,253,160
2022-11-12,1105,254,160
2022-11-13,1106,255,160
2022-11-14,1106,256,161
2022-11-15,1107,257,161
2022-11-16,1108,258,162
2022-11-17,1110,258,162
2022-11-18,1110,258,162
2022-11-19,1112,258,162
2022-11-20,1114,258,162
2022-11-21,1114,258,162
2022-11-22,1116,261,162
2022-11-23,1120,262,164
2022-11-24,1120,262,164
2022-11-25,1121,262,164
2022-11-26,1122,262,164
2022-11-27,1123,262,164
2022-11-28,1123,263,165
2022-11-29,1127,263,166
2022-11-30,1129,263,166
2022-12-01,1129,263,166
2022-12-02,1131,263,166
2022-12-03,1135,264,167
2022-12-04,1139,266,169
2022-12-05,1140,266,169
2022-12-06,1142,267,171
2022-12-07,1148,268,172
2022-12-08,1151,268,172
2022-12-09,1153,268,172
2022-12-10,1153,268,172
2022-12-11,1153,268,172
2022-12-12,1153,268,172
2022-12-13,1154,268,172
2022-12-14,1156,268,172
2022-12-15,1161,272,173
2022-12-16,1164,272,174
2022-12-17,1167,274,175
2022-12-18,1169,274,175
2022-12-19,1170,274,175
2022-12-20,1174,275,176
2022-12-21,1201,275,176
2022-12-22,1220,275,176
2022-12-23,1227,275,178
2022-12-24,1232,277,179
2022-12-25,1234,277,179
2022-12-26,1237,278,180
2022-12-27,1240,278,180
2022-12-28,1240,278,180
2022-12-29,1242,279,181
2022-12-30,1246,279,181
2022-12-31,1247,280,182
2023-01-01,1249,280,182
2023-01-02,1250,280,182
2023-01-03,1252,281,182
2023-01-04,1255,281,184
2023-01-05,1257,281,185
2023-01-06,1261,281,185
2023-01-07,1270,282,185
2023-01-08,1272,282,185
2023-01-09,1272,282,185
2023-01-10,1276,282,185
2023-01-11,1278,283,185
2023-01-12,1284,283,185
2023-01-13,1289,284,186
2023-01-14,1291,284,186
2023-01-15,1292,285,186
2023-01-16,1293,285,186
2023-01-17,1298,285,186
2023-01-18,1303,285,186
2023-01-19,1304,285,187
2023-01-20,1309,285,187
2023-01-21,1310,285,188
2023-01-22,1310,285,188
2023-01-23,1312,285,188
2023-01-24,1314,285,188
2023-01-25,1319,285,188
2023-01-26,1322,285,188
2023-01-27,1324,285,188
2023-01-28,1326,285,188
2023-01-29,1327,285,188
2023-01-30,1327,285,188
2023-01-31,1328,285,188
2023-02-01,1328,285,188
2023-02-02,1333,285,188
2023-02-03,1335,285,188
2023-02-04,1341,285,188
2023-02-05,1342,285,188
2023-02-06,1342,285,188
2023-02-07,1342,285,188
2023-02-08,1343,285,188
2023-02-09,1344,285,188
2023-02-10,1347,285,188
2023-02-11,1350,285,188
2023-02-12,1351,285,188
2023-02-13,1351,285,188
2023-02-14,1353,285,188
2023-02-15,1355,285,188
2023-02-16,1357,285,188
2023-02-17,1359,285,188
2023-02-18,1363,285,188
2023-02-19,1364,285,188
2023-02-20,1364,285,188
2023-02-21,1364,285,188
2023-02-22,1367,285,188
2023-02-23,1368,285,188
2023-02-24,1368,285,188
2023-02-25,1370,285,188
2023-02-26,1372,285,188
2023-02-27,1373,285,188
2023-02-28,1374,285,188
2023-03-01,1375,285,188
2023-03-02,1375,285,188
2023-03-03,1375,285,188
2023-03-04,1375,285,188
2023-03-05,1377,285,188
2023-03-06,1377,285,188
2023-03-07,1379,285,188
2023-03-08,1397,285,188
2023-03-09,1416,285,188
2023-03-10,1422,285,188
2023-03-11,1423,285,188
2023-03-12,1424,285,188
2023-03-13,1428,285,188
2023-03-14,1429,285,188
2023-03-15,1431,285,188
2023-03-16,1432,285,188
2023-03-17,1432,285,188
2023-03-18,1434,285,188
2023-03-19,1436,285,188
2023-03-20,1436,285,188
2023-03-21,1437,285,188
2023-03-22,1438,285,188
2023-03-23,1439,285,188
2023-03-24,1441,285,188
2023-03-25,1441,285,188
2023-03-26,1443,285,188
2023-03-27,1443,285,188
2023-03-28,1444,285,188
2023-03-29,1444,285,188
2023-03-30,1446,285,188
2023-03-31,1446,285,188
2023-04-01,1449,285,188
2023-04-02,1449,285,188
2023-04-03,1450,285,188
2023-04-04,1450,285,188
2023-04-05,1450,285,188
2023-04-06,1451,285,188
2023-04-07,1451,285,188
