created,total,diff_gt_7d,diff_lt_7d
2021-11-21,281,69.0,0.0
2021-11-28,36,9.0,1.0
2021-12-05,8,3.0,0.0
2021-12-12,60,15.0,0.0
2021-12-19,39,7.0,0.0
2021-12-26,6,3.0,1.0
2022-01-02,17,1.0,0.0
2022-01-09,5,0.0,0.0
2022-01-16,42,5.0,0.0
2022-01-23,3,0.0,1.0
2022-01-30,3,0.0,0.0
2022-02-06,2,1.0,0.0
2022-02-13,11,6.0,0.0
2022-02-20,3,1.0,0.0
2022-02-27,35,6.0,3.0
2022-03-06,9,0.0,0.0
2022-03-13,9,2.0,0.0
2022-03-20,25,9.0,1.0
2022-03-27,16,5.0,0.0
2022-04-03,9,6.0,2.0
2022-04-10,6,2.0,0.0
2022-04-17,18,3.0,6.0
2022-04-24,11,3.0,2.0
2022-05-01,15,1.0,1.0
2022-05-08,14,3.0,2.0
2022-05-15,5,1.0,0.0
2022-05-22,4,1.0,1.0
2022-05-29,3,0.0,1.0
2022-06-05,6,2.0,1.0
2022-06-12,1,0.0,0.0
2022-06-19,1,0.0,1.0
2022-06-26,1,1.0,0.0
2022-07-03,2,0.0,1.0
2022-07-10,1,0.0,0.0
2022-07-17,3,0.0,0.0
2022-07-24,5,0.0,0.0
2022-07-31,2,1.0,0.0
2022-08-07,1,0.0,0.0
2022-08-14,5,1.0,0.0
2022-08-21,0,0.0,0.0
2022-08-28,2,1.0,0.0
2022-09-04,0,0.0,0.0
2022-09-11,6,1.0,0.0
2022-09-18,1,0.0,1.0
2022-09-25,2,0.0,0.0
2022-10-02,2,0.0,1.0
2022-10-09,3,0.0,0.0
2022-10-16,2,0.0,0.0
2022-10-23,3,0.0,1.0
2022-10-30,1,2.0,0.0
2022-11-06,15,5.0,1.0
2022-11-13,8,2.0,1.0
2022-11-20,6,0.0,3.0
2022-11-27,9,0.0,1.0
2022-12-04,16,0.0,3.0
2022-12-11,13,1.0,1.0
2022-12-18,17,0.0,2.0
2022-12-25,67,1.0,4.0
2023-01-01,13,0.0,0.0
2023-01-08,22,1.0,1.0
2023-01-15,21,0.0,1.0
2023-01-22,19,0.0,0.0
2023-01-29,13,0.0,0.0
2023-02-05,1,0.0,0.0
2023-02-12,1,0.0,0.0
